epoch,train_loss,val_map50,seconds
1,0.5539,0.3295,323
2,0.5043,0.4433,307
3,0.4491,0.6596,307
4,0.426,0.6854,322
5,0.3864,0.7381,332
6,0.3553,0.7335,356
7,0.3255,0.7223,1065
8,0.3036,0.717,1138
9,0.2804,0.7121,1290
10,0.2576,0.7414,363
